Municipio,mean,median,sum
São Félix do Araguaia,1.2,1.0,6
São Félix do Tocantins,1.0,1.0,1
São Félix do Xingu,235.0,161.5,2820
São Gabriel da Cachoeira,7311.166666666667,5401.0,87734
São Geraldo do Araguaia,13.625,5.0,109
São José de Ribamar,10.571428571428571,6.0,74
São José do Povo,1.0,1.0,1
São José do Rio Claro,7.8,1.0,39
São José do Xingu,2.0,1.0,8
São José dos Basílios,1.4,1.0,7
São João Batista,1.3333333333333333,1.0,4
São João da Baliza,438.9166666666667,479.5,5267
São João da Ponta,4.5,3.0,36
São João de Pirabas,88.66666666666667,63.0,532
São João do Araguaia,72.54545454545455,46.0,798
São João do Carú,6.2,3.0,31
São João do Paraíso,1.0,1.0,1
São João do Soter,4.0,4.0,16
São João dos Patos,1.0,1.0,1
São Luiz,130.25,130.5,1563
São Luís,35.3,16.5,353
São Luís Gonzaga do Maranhão,12.714285714285714,4.0,89
São Mateus do Maranhão,34.142857142857146,19.0,239
São Miguel do Guamá,3.5,3.0,28
São Miguel do Guaporé,40.166666666666664,12.0,482
São Miguel do Tocantins,1.0,1.0,1
São Paulo de Olivença,1689.1666666666667,1280.5,20270
São Pedro da Água Branca,6.25,2.0,25
São Raimundo do Doca Bezerra,1.5,1.5,3
São Roberto,1.25,1.0,5
São Sebastião da Boa Vista,515.8333333333334,221.0,6190
São Sebastião do Tocantins,2.6666666666666665,2.0,8
São Sebastião do Uatumã,321.75,189.0,3861
São Vicente Ferrer,1.0,1.0,1
Sítio Novo do Tocantins,1.0,1.0,1
Tabaporã,1.0,1.0,1
Tabatinga,1926.0833333333333,1593.0,23113
Taguatinga,1.0,1.0,1
Tailândia,91.9,97.0,919
Taipas do Tocantins,1.0,1.0,2
Tangará da Serra,1.3333333333333333,1.0,8
Tapauá,2020.25,1658.5,24243
Tapurah,2.0,2.0,6
Tarauacá,1373.9166666666667,1215.0,16487
Tartarugalzinho,493.25,508.0,5919
Tefé,3458.8333333333335,2367.0,41506
Teixeirópolis,1.8571428571428572,1.0,13
Terra Alta,1.5,1.0,6
Terra Nova do Norte,1.8571428571428572,1.0,13
Terra Santa,3.6,1.0,18
Theobroma,113.08333333333333,16.5,1357
Timbiras,12.0,14.0,36
Timon,2.0,2.0,2
Tocantinópolis,2.0,2.0,2
Tomé-Açu,91.5,73.5,915
Tonantins,58.416666666666664,21.5,701
Torixoréu,1.3333333333333333,1.0,4
Tracuateua,5.0,4.5,30
Trairão,114.41666666666667,94.0,1373
Trizidela do Vale,1.0,1.0,3
Tucumã,45.54545454545455,7.0,501
Tucuruí,830.75,919.5,9969
Tufilândia,6.0,5.0,36
Tuntum,1.0,1.0,3
Turiaçu,94.0,68.0,1034
Turilândia,39.75,30.0,477
Tutóia,1.75,1.5,7
Uarini,1171.3333333333333,1287.0,14056
Uiramutã,187.66666666666666,120.5,2252
Ulianópolis,30.444444444444443,11.0,274
União do Sul,1.5,1.5,3
Urbano Santos,3.5,3.5,7
Uruará,103.0909090909091,85.0,1134
Urucará,144.33333333333334,78.0,1732
Urucurituba,3.0,1.5,24
Urupá,8.916666666666666,3.0,107
Vale de São Domingos,1.0,1.0,2
Vale do Anari,296.5833333333333,158.0,3559
Vale do Paraíso,8.444444444444445,2.0,76
Vargem Grande,20.25,5.5,81
Vera,3.0,3.0,3
Viana,1.6666666666666667,2.0,5
Vigia,7.2727272727272725,3.0,80
Vila Bela da Santíssima Trindade,3.0,3.0,12
Vila Nova dos Martírios,6.666666666666667,3.0,20
Vila Rica,1.4,1.0,7
Vilhena,20.636363636363637,12.0,227
Viseu,480.44444444444446,492.0,4324
Vitorino Freire,1.8571428571428572,1.0,13
Vitória do Jari,39.333333333333336,22.5,472
Vitória do Mearim,7.0,3.0,28
Vitória do Xingu,139.9,162.0,1399
Várzea Grande,3.0,4.0,9
Xambioá,1.25,1.0,5
Xapuri,23.5,6.5,235
Xinguara,2.2,2.5,22
Zé Doca,46.5,14.5,465
Água Azul do Norte,2.4285714285714284,2.0,17
Água Boa,15.0,14.0,60
Água Doce do Maranhão,1.0,1.0,3
Óbidos,112.66666666666667,109.0,1352
